CLIENTE;MES;NRO_VEC_COB;PDPs_ROTAS;ESTADO_PDP;NRO_CUOTAS;MES_0;MES_1;MES_2;FECHALLAMADA;HORA;DEUDA_TOTAL;ESTATUS;ACTIVACION;MORA;TIPOCONTACTO
C00246;01/02/2014;>10;0;0;>48;178.62;179.19;13.67;24/02/2014;10;4384.85;BT;1/01/2012;1;COEF
C00248;01/02/2014;>10;0;0;<24, 48;1415.2;1418.21;0;19/02/2014;13;31804;BT;1/01/2012;1;COEF
C00249;01/02/2014;<=10;0;0;>48;776.12;0;0;3/02/2014;12;30087.9;BT;1/01/2013;1;COEF
C00252;01/02/2014;<=10;0;0;<24, 48;61.64;0;0;5/02/2014;15;10845.2;BT;1/01/2012;1;COEF
C00253;01/02/2014;<=10;0;0;<24, 48;481.51;479.84;965.2;7/02/2014;7;3756.57;BT;1/01/2011;1;COEF
C00254;01/02/2014;<=10;0;0;>48;1480.06;1491.15;1509.31;14/02/2014;12;46894.9;BT;1/01/2012;1;CNE
C00255;01/02/2014;<=10;0;0;<24, 48;402.03;804.17;404.82;26/02/2014;19;3298.32;BT;1/01/2011;0;COEF
C00256;01/02/2014;<=10;0;0;<24, 48;99.42;48.54;0;7/02/2014;7;5365.6;BT;1/01/2013;1;COEF
C00257;01/02/2014;<=10;0;0;<24, 48;178.24;0;0;3/02/2014;14;4847.26;BT;1/01/2013;1;CNE
C00258;01/02/2014;>10;0;0;<24, 48;419.79;418.11;415.89;17/02/2014;12;2823.36;BT;1/01/2011;1;CNE
